,fullname,gender,birth,hand,tourney_spectators,won_matches,lost_matches,country,minutes,rank,year,bp_save_ratio,svpt_won_perc,ace,df_perc,matches,best_season,best_year,best_surface,percent_won
8990,Sydji Peszynski,F,,U,3028.0,0,1,FRA,,,2021.0,,,,,1,,,,0
8991,Sydney Berlin,F,2000.0,L,3531.4,4,6,SWE,,,2019.0,,,,,10,Summer,2018.0,Clay,40
8992,Sydney Campbell,F,1994.0,U,3710.0,0,1,USA,,,2016.0,,,,,1,,,,0
8993,Sydney Clarke,F,2001.0,U,211.0,1,3,BAH,84.25,,2017.0,0.32196969696969696,0.388070239357004,0.0,0.07528705175764,4,Summer,2017.0,,25
8994,Sydney Dorcil,F,,U,2916.0,0,1,USA,,,2019.0,,,,,1,,,,0
8995,Syed Mohd Agil Syed Naguib,M,1994.0,R,405.0,0,1,MAS,55.0,,2016.0,0.3076923076923077,0.31666666666666665,2.0,0.03333333333333333,1,,,,0
8996,Sylvia Chidera Oreigbemileke Okafor,F,2000.0,U,3292.0,0,1,NED,,,2017.0,,,,,1,,,,0
8997,Sylvia Schenck,F,1964.0,U,2905.3333333333335,3,12,USA,,,2021.0,,,,,15,Winter,2019.0,Hard,20
8998,Sylvie Kalouskova,F,,U,3541.0,0,1,CZE,,,2019.0,,,,,1,,,,0
8999,Sylvie Zund,F,2001.0,L,3237.194805194805,37,40,LIE,,1309.2857142857142,2021.0,,,,,77,Winter,2021.0,Clay,48
9000,Syria La Cerra,F,,R,4137.125,3,5,ITA,,,2019.0,,,,,8,Summer,2019.0,Clay,37
9001,Syuzen Afifi,F,1998.0,R,3055.4,1,4,RUS,,,2019.0,,,,,5,Summer,2018.0,Hard,20
9002,Szabina Szlavikovics,F,1995.0,R,3113.025974025974,29,48,HUN,,947.1481481481482,2019.0,,,,,77,Summer,2019.0,Clay,37
9003,Szymon Kielan,M,2002.0,U,3839.0,1,1,POL,87.0,1925.0,2021.0,0.6826923076923077,0.5831856446610545,3.0,0.05693398316349137,2,Summer,2021.0,Clay,50
9004,Szymon Walkow,M,1995.0,R,3729.0555555555557,7,11,POL,85.70588235294117,1094.6666666666667,2020.0,0.5023200757575758,0.6314125207653662,3.388888888888889,0.05600408841956982,18,Winter,2018.0,Hard,38
9005,Tabatha Suarez,F,,U,4111.0,1,1,ESP,,,2020.0,,,,,2,Winter,2020.0,Clay,50
9006,Tabitha Porter,F,,R,3155.0,0,1,NZL,,,2019.0,,,,,1,,,,0
9007,Tadas Babelis,M,1996.0,U,1402.6666666666667,0,6,LTU,72.0,1393.8,2019.0,0.4265512265512265,0.5498814264439265,2.8333333333333335,0.058261298886298885,6,,,,0
9008,Tadeas Paroulek,M,2000.0,U,5018.333333333333,1,2,CZE,77.33333333333333,1551.6666666666667,2019.0,0.41865079365079366,0.5386934053266638,1.0,0.06628081612506133,3,Summer,2017.0,Clay,33
9009,Tadeja Majeric,F,1990.0,R,3357.1666666666665,33,21,SLO,84.0,267.8703703703704,2018.0,0.4375,0.4895700297999149,1.0,0.08258833546189867,54,Winter,2016.0,Hard,61
9010,Tadiwa Chinamo,M,1998.0,R,3796.0,0,1,ZIM,125.0,1881.0,2017.0,0.5714285714285714,0.4895833333333333,2.0,0.041666666666666664,1,,,,0
9011,Tae Woo Lee,M,1992.0,U,3759.25,1,3,KOR,82.25,752.75,2018.0,0.3371794871794872,0.5411147402063722,3.0,0.048947637062391164,4,Summer,2018.0,Hard,25
9012,Taehee Kim,F,,U,2284.0,0,1,KOR,,,2019.0,,,,,1,,,,0
9013,Taha Baadi,M,2001.0,U,5294.076923076923,3,10,CAN,92.46153846153847,935.3333333333334,2020.0,0.5478021978021979,0.5763786005216891,3.5384615384615383,0.03158339990536919,13,Winter,2018.0,Hard,23
9014,Taha Tifnouti,M,1994.0,L,3351.75,0,4,MAR,49.0,1699.6666666666667,2017.0,0.44886363636363635,0.3774499506206823,1.0,0.11465931892761161,4,,,,0
9015,Taisei Ichikawa,M,2000.0,U,4999.4,3,2,JPN,84.4,1102.6,2019.0,0.6178571428571429,0.6394788694533252,2.6,0.03587797564222448,5,Winter,2019.0,Hard,60
9016,Taisia Bolsova Zadoinov,F,,U,3095.0,0,1,ESP,,,2020.0,,,,,1,,,,0
9017,Taisia Polyarush,F,2000.0,R,3163.0,0,1,UKR,,,2016.0,,,,,1,,,,0
9018,Taisia Yakunina,F,,U,3512.3333333333335,0,3,RUS,,,2020.0,,,,,3,,,,0
9019,Taisiya Zakarlyuk,F,1994.0,R,2798.0,0,2,UKR,,,2016.0,,,,,2,,,,0
9020,Taisya Pachkaleva,F,2001.0,U,3116.271186440678,40,19,RUS,,798.5,2021.0,,,,,59,Winter,2019.0,Clay,67
9021,Tajda Zalokar,F,,U,3170.0,1,4,SLO,,,2021.0,,,,,5,Summer,2021.0,Clay,20
9022,Tak Khunn Wang,M,1991.0,R,4672.534653465346,56,45,FRA,102.39393939393939,451.33663366336634,2021.0,0.6068720618182897,0.6129709273589177,2.77,0.034324770009597536,101,Summer,2018.0,Hard,55
9023,Takalani Molaoa,F,2001.0,R,3667.0,0,1,RSA,,,2016.0,,,,,1,,,,0
9024,Takanyi Garanganga,M,1990.0,R,3279.2162162162163,31,43,ZIM,96.90140845070422,464.0405405405405,2019.0,0.505691875555173,0.6009504346719317,4.929577464788732,0.07344627418775296,74,Winter,2018.0,Hard,41
9025,Takao Suzuki,M,1977.0,R,1928.0,0,1,JPN,21.0,815.0,2016.0,0.0,0.6111111111111112,1.0,0.05555555555555555,1,,,,0
9026,Takashi Saito,M,1995.0,R,3510.3333333333335,1,5,JPN,77.33333333333333,621.6666666666666,2019.0,0.5903180153180153,0.5554196859903382,1.5,0.02713724982746722,6,Summer,2018.0,Clay,16
9027,Takhmina Burkhanova,F,1994.0,R,193.25,2,2,TJK,73.25,,2017.0,0.4278138528138528,0.4750057712014234,0.25,0.12251838338794861,4,Summer,2017.0,Hard,50
9028,Takhmina Zhanatova,F,2002.0,U,3218.25,1,3,KAZ,,,2019.0,,,,,4,Summer,2018.0,Hard,25
9029,Takuto Niki,M,1987.0,U,3541.25,28,36,JPN,90.52380952380952,442.71875,2020.0,0.564531857031857,0.6309194724055761,4.936507936507937,0.03247822835185373,64,Summer,2016.0,Hard,43
9030,Takuya Komura,M,1993.0,U,3168.0,0,1,JPN,100.0,,2016.0,0.7142857142857143,0.6329113924050633,0.0,0.0379746835443038,1,,,,0
9031,Tal Dekel,F,,U,3145.0,0,2,ISR,,,2021.0,,,,,2,,,,0
9032,Tal Goldengoren,M,1996.0,U,2435.0,0,1,ISR,50.0,815.0,2016.0,0.16666666666666666,0.4418604651162791,0.0,0.09302325581395349,1,,,,0
9033,Tal Zinn,F,2000.0,U,3166.8333333333335,0,6,ISR,,,2019.0,,,,,6,,,,0
9034,Tali Krasnopolski,F,2002.0,R,3432.0,2,2,ISR,,,2021.0,,,,,4,Summer,2019.0,Hard,50
9035,Tali Malykhin,F,,U,3347.5,2,2,ISR,,,2021.0,,,,,4,Summer,2019.0,Hard,50
9036,Talia Gibson,F,2004.0,U,2928.6666666666665,3,3,AUS,,,2020.0,,,,,6,Winter,2020.0,Hard,50
9037,Tallon Griekspoor,M,1996.0,R,5399.229166666667,110,82,NED,100.15508021390374,211.16666666666666,2021.0,0.6056753482025221,0.6292415204285691,4.989473684210527,0.0370043786204596,192,Summer,2021.0,Clay,57
9038,Talya Barad Itzhaki,F,,U,3145.0,0,2,ISR,,,2021.0,,,,,2,,,,0
9039,Talya Zandberg,F,1997.0,U,2803.6363636363635,3,8,ISR,,1248.0,2019.0,,,,,11,Summer,2016.0,Hard,27
9040,Tamachan Momkoonthod,F,1997.0,U,3244.051948051948,32,45,THA,30.0,963.4864864864865,2020.0,,0.9230769230769231,5.0,0.038461538461538464,77,Winter,2018.0,Hard,41
9041,Tamaki Yamao,M,1998.0,U,3026.0,0,1,JPN,84.0,1828.0,2018.0,0.5,0.5428571428571428,0.0,0.08571428571428572,1,,,,0
9042,Tamara Arnold,F,1998.0,R,3148.3333333333335,3,3,SUI,,,2018.0,,,,,6,Summer,2016.0,Clay,50
9043,Tamara Bajagic,F,2003.0,U,3446.3076923076924,3,10,AUS,,,2020.0,,,,,13,Winter,2020.0,Hard,23
9044,Tamara Barad Itzhaki,F,2000.0,R,3157.964705882353,35,50,ISR,,989.82,2021.0,,,,,85,Summer,2019.0,Hard,41
9045,Tamara Bizhukova,F,1994.0,R,3252.0,19,40,RUS,,1223.92,2020.0,,,,,59,Winter,2019.0,Hard,32
9046,Tamara Cherkassova,F,2001.0,U,2980.3888888888887,1,17,KAZ,,,2021.0,,,,,18,Winter,2021.0,Hard,5
9047,Tamara Curovic,F,1994.0,R,3084.848249027237,141,116,SRB,,647.4669260700389,2021.0,,,,,257,Winter,2016.0,Clay,54
9048,Tamara Korpatsch,F,1995.0,R,3916.3418181818183,154,121,GER,105.69,163.97454545454545,2021.0,0.49880468123067795,0.5252579483002338,1.21,0.0687429391361879,275,Summer,2019.0,Clay,56
9049,Tamara Kostic,F,,U,2590.8333333333335,4,2,AUT,,,2021.0,,,,,6,Summer,2021.0,Carpet,66
9050,Tamara Kupkova,F,1997.0,U,3382.75,1,3,SVK,,,2016.0,,,,,4,Winter,2016.0,Clay,25
9051,Tamara Malazonia,F,,U,1658.0,0,1,GBR,,,2019.0,,,,,1,,,,0
9052,Tamara Malesevic,F,2000.0,U,3095.4927536231885,34,35,SRB,,940.0294117647059,2021.0,,,,,69,Summer,2019.0,Clay,49
9053,Tamara Milosevic,F,1999.0,R,3451.8846153846152,9,17,SRB,,,2019.0,,,,,26,Summer,2019.0,Hard,34
9054,Tamara Racine Beauchamp,F,2000.0,U,3372.5,0,4,SUI,,,2018.0,,,,,4,,,,0
9055,Tamara Tomic,F,1997.0,L,2833.0833333333335,3,9,SRB,,1255.0,2018.0,,,,,12,Summer,2016.0,Clay,25
9056,Tamara Zidansek,F,1998.0,R,4490.5,202,104,SLO,101.15384615384616,139.12745098039215,2021.0,0.5130164173448581,0.5468432317571266,1.1748251748251748,0.04309886456345203,306,Summer,2018.0,Clay,66
9057,Tamari Chalaganidze,F,1995.0,U,2873.5,0,2,GEO,,,2019.0,,,,,2,,,,0
9058,Tamari Gagoshidze,F,2003.0,U,3330.809523809524,8,13,GEO,,1243.142857142857,2021.0,,,,,21,Summer,2021.0,Clay,38
9059,Tamaryn Hendler,F,1992.0,R,3200.5102040816328,33,16,BEL,,469.7894736842105,2018.0,,,,,49,Summer,2018.0,Clay,67
9060,Tamira Paszek,F,1991.0,R,3928.828828828829,65,46,AUT,95.76923076923077,508.7473684210526,2021.0,0.4839321325389437,0.5349286569538458,2.1538461538461537,0.04935718183150416,111,Summer,2016.0,Hard,58
9061,Tammi Patterson,F,1990.0,R,3443.6625,35,45,AUS,92.0,413.4625,2019.0,0.39567099567099556,0.5327226443188919,4.428571428571429,0.05494401000912342,80,Summer,2017.0,Hard,43
